~iteration~,margin
0,0.2
50,0.2
100,0.2
146,0.2
196,0.2
246,0.2
292,0.2
342,0.2
392,0.2
438,0.2
488,0.2
538,0.2
584,0.2
634,0.2
684,0.2
730,0.2
780,0.2
830,0.2
876,0.2
926,0.2
976,0.2
1022,0.2
1072,0.2
1122,0.2
1168,0.2
1218,0.2
1268,0.2
1314,0.2
1364,0.2
1414,0.2
1460,0.2
1510,0.2
1560,0.2
1606,0.2
1656,0.2
1706,0.2
1752,0.2
1802,0.2
1852,0.2
1898,0.2
1948,0.2
1998,0.2
2044,0.2
2094,0.2
2144,0.2
2190,0.2
2240,0.2
2290,0.2
2336,0.2
2386,0.2
2436,0.2
2482,0.2
2532,0.2
2582,0.2
2628,0.2
2678,0.2
2728,0.2
2774,0.2
2824,0.2
2874,0.2
2920,0.2
2970,0.2
3020,0.2
3066,0.2
3116,0.2
3166,0.2
3212,0.2
3262,0.2
3312,0.2
3358,0.2
3408,0.2
3458,0.2
3504,0.2
3554,0.2
3604,0.2
3650,0.2
3700,0.2
3750,0.2
3796,0.2
3846,0.2
3896,0.2
3942,0.2
3992,0.2
4042,0.2
4088,0.2
4138,0.2
4188,0.2
4234,0.2
4284,0.2
4334,0.2
4380,0.2
4430,0.2
4480,0.2
4526,0.2
4576,0.2
4626,0.2
4672,0.2
4722,0.2
4772,0.2
4818,0.2
4868,0.2
4918,0.2
